Location,Sample,Study_day,Stage,Gravimetric_moisture,DO,pH,EC,NH4 ,NO3 
grave,gr_15_sp3,117,Advanced8,0.502360081,94.7,6.05,262.7,0.141742666,0.014370575
control,con_15_sp1,132,Advanced9,0.172131148,98.3,6.84,66.82,0.002900634,0.006088831
grave,gr_15_sp1,132,Advanced9,0.431113662,90.7,5.79,648,0.230352055,0.131051848
control,con_15_sp2,132,Advanced9,0.255437814,99.3,6.8,37.33,0.003013051,0.002842311
grave,gr_15_sp2,132,Advanced9,0.234229829,98.9,6.27,228.9,0.014909496,0.039594093
control,con_15_sp3,132,Advanced9,0.248927039,99.3,7.07,49.43,0.001785133,0.001895039
grave,gr_15_sp3,132,Advanced9,0.402111324,98.4,6.04,243.9,0.077172207,0.007655528
control,con_15_sp1,150,Advanced10,0.319452367,94.8,7.31,64.87,0.006741522,0.008606348
grave,gr_15_sp1,150,Advanced10,0.412132884,85.4,6.38,397.9,0.30215878,0.055562722
control,con_15_sp2,150,Advanced10,0.442105263,97.3,7.28,41.72,0.008291144,0.005233881
grave,gr_15_sp2,150,Advanced10,0.350449294,96.5,6.49,220.5,0.028053333,0.038010646
control,con_15_sp3,150,Advanced10,0.460718294,98.9,7.07,47.61,0.007697012,0.00563253
grave,gr_15_sp3,150,Advanced10,0.52427686,96.8,6.33,213.4,0.044508884,0.016527226
control,con_15_sp1,168,Advanced11,0.339570721,100.4,7.03,63.89,0.006158453,0.010202171
grave,gr_15_sp1,168,Advanced11,0.42676399,96.1,6.24,263.9,0.107406793,0.066296967
control,con_15_sp2,168,Advanced11,0.492338441,100.7,7.23,40.93,0.006446902,0.008671481
grave,gr_15_sp2,168,Advanced11,0.365921788,101.4,6.05,314.3,0.031907933,0.082028156
control,con_15_sp3,168,Advanced11,0.514819588,100.3,7.23,41.65,0.005332165,0.007816469
grave,gr_15_sp3,168,Advanced11,0.647237401,101.4,6.51,109,0.019042064,0.024185838
